-1.054595e-02	-7.224753e-03	-1.926873e-01	3.346133e-03	-1.007400e-01	-6.241535e-03	
-1.879644e-02	-7.063347e-03	-1.880490e-01	3.186582e-03	-1.076130e-01	-6.056053e-03	
-2.674825e-02	-6.656137e-03	-1.835608e-01	2.950223e-03	-1.141298e-01	-5.696776e-03	
-3.420757e-02	-6.174604e-03	-1.792317e-01	4.931107e-03	-1.202982e-01	-5.345715e-03	
-4.121812e-02	-5.772703e-03	-1.706238e-01	7.235266e-02	-1.261261e-01	-5.002782e-03	
-4.789415e-02	-5.519956e-03	-3.113771e-02	2.092093e-01	-1.316212e-01	-4.667892e-03	
-5.441874e-02	-5.423077e-03	2.562694e-01	2.656172e-01	-1.367911e-01	-4.340961e-03	
-6.092008e-02	-5.372478e-03	5.190510e-01	1.991169e-01	-1.416433e-01	-4.021940e-03	
-6.736249e-02	-5.264244e-03	6.830393e-01	4.163335e-02	-1.461856e-01	-3.709465e-03	
-7.366621e-02	-5.087638e-03	6.368331e-01	-1.600175e-01	-1.504226e-01	-3.369147e-03	
-7.977384e-02	-4.868045e-03	3.958351e-01	-2.523439e-01	-1.542933e-01	-2.974617e-03	
-8.565623e-02	-4.628486e-03	1.561886e-01	-2.053608e-01	-1.577497e-01	-3.572026e-04	
-9.130195e-02	-4.382016e-03	4.185200e-04	-1.232647e-01	-1.563929e-01	6.772246e-02	
-9.670792e-02	-4.134802e-03	-8.071548e-02	-6.211317e-02	-2.368701e-02	2.074068e-01	
-1.018750e-01	-3.889677e-03	-1.171409e-01	-2.820076e-02	2.573230e-01	2.691077e-01	
-1.068058e-01	-3.647918e-03	-1.317782e-01	-1.209775e-02	5.140333e-01	2.074570e-01	
-1.115038e-01	-3.410308e-03	-1.365313e-01	-5.109164e-03	6.722923e-01	5.315213e-02	
-1.159732e-01	-3.177408e-03	-1.373648e-01	-2.422310e-03	6.207322e-01	-1.488999e-01	
-1.202185e-01	-2.949613e-03	-1.367746e-01	-1.339839e-03	3.747766e-01	-2.449563e-01	
-1.242446e-01	-5.043194e-04	-1.354216e-01	-1.061468e-03	1.305762e-01	-2.016777e-01	
